character_id,age,sex,height_cm,weight_kg,strength,reaction,stamina,speed,intelligence,perception,agility,endurance,stress_resistance,luck,panic,fatigue,hunger,thirst,mental_stability,focus,confidence,pain_tolerance,has_flashlight,flashlight_battery,has_knife,has_backpack,has_first_aid_kit,medkit_count,has_water,water_amount,has_food,food_amount,has_radio,level_id,level_difficulty,visibility,entity_density,entity_aggression,resource_density,maze_complexity,geometry_stability,special_rule,spawn_area_danger,distance_to_nearest_entity,noise_generated,time_since_last_encounter,survived_24h,survival_time_hours,escape_probability
33,38,female,158,85,4,5,5,6,2,6,4,5,6,2,17,37,32,34,68,62,43,74,0,0,0,1,0,0,0,0,0,0,0,4,24,58,15,17,72,48,58,liminal_office,10,68,10,20,1,89,0.5487
34,23,female,166,61,7,5,6,4,4,5,6,7,6,7,32,27,43,36,70,54,54,56,0,0,1,1,0,0,0,0,1,2,1,0,64,52,35,50,58,37,67,liminal_office,46,52,32,13,1,72,0.5686
35,48,female,175,66,6,5,6,2,6,3,4,6,4,7,42,49,51,43,44,52,32,84,1,69,1,1,0,0,1,6,0,0,1,5,50,64,39,33,33,40,63,haunted_hotel,37,46,35,11,1,74,0.485
36,28,female,167,62,6,6,5,5,6,6,7,3,6,3,29,46,39,36,58,54,56,44,1,23,0,0,0,0,1,6,1,5,0,0,10,63,35,35,46,50,43,neutral,27,49,22,17,0,15,0.1796
37,30,female,159,51,4,5,5,6,2,5,6,5,3,5,30,48,52,30,59,53,29,57,0,0,0,1,0,0,0,0,1,6,0,1,42,45,25,23,56,34,72,neutral,23,72,1,17,1,72,0.6333
38,26,female,164,69,4,7,6,9,3,3,7,4,5,8,62,41,54,33,27,42,46,31,0,0,0,0,1,2,0,0,1,4,0,2,67,45,60,68,16,55,43,resource_rich,53,29,41,8,1,91,0.4904
39,25,other,170,59,5,2,6,3,5,3,5,8,4,5,49,35,52,39,47,74,35,38,1,67,1,0,0,0,0,0,1,4,0,2,50,27,55,61,37,74,31,neutral,55,42,43,6,0,5,0.139
40,54,male,177,62,4,5,5,4,8,6,4,5,5,9,41,57,49,63,54,68,28,53,0,0,1,1,1,3,0,0,0,0,1,7,58,49,47,29,20,62,56,flooding,47,46,14,10,0,4,0.0666
41,48,male,176,65,6,2,4,4,5,6,5,4,0,4,26,30,40,35,50,57,43,60,1,58,1,1,0,0,1,7,1,6,1,4,4,74,16,28,72,8,40,liminal_office,27,70,19,16,1,79,0.9262
42,17,female,161,54,4,5,6,6,5,6,5,5,4,6,20,34,35,25,50,66,66,57,1,47,1,0,1,3,1,4,1,4,1,4,32,65,6,14,79,6,59,neutral,20,68,25,18,1,122,0.914
43,60,female,161,59,5,6,7,4,5,6,5,5,8,5,36,34,31,48,69,58,53,33,0,0,1,0,0,0,0,0,1,5,0,1,31,49,26,38,59,18,72,neutral,36,53,15,10,1,95,0.7566
44,40,male,169,59,4,5,4,6,7,7,3,5,6,2,31,58,38,32,53,64,49,58,1,17,0,0,0,0,1,5,1,2,0,2,58,28,42,64,44,85,25,darkness,49,44,17,7,1,139,0.5701
45,61,female,154,64,9,9,8,8,6,7,7,9,7,2,22,36,43,26,70,68,44,51,1,68,1,1,1,4,0,0,1,8,0,4,16,71,10,23,54,24,67,liminal_office,24,57,26,17,1,90,0.7746
46,22,female,168,56,5,4,6,4,5,3,3,5,6,7,52,36,42,25,52,51,50,39,1,69,1,1,1,2,1,3,1,6,0,5,63,66,48,44,49,73,56,haunted_hotel,45,29,25,10,0,5,0.1473
47,24,male,178,85,5,4,4,4,6,8,5,2,3,4,27,47,39,24,65,68,36,66,1,50,0,0,0,0,1,6,1,6,0,4,38,88,25,25,70,33,66,liminal_office,18,67,8,13,1,159,0.7931
48,28,male,164,89,3,4,7,7,6,6,6,6,6,6,43,33,42,21,52,53,46,60,1,66,0,0,1,3,0,0,1,8,0,1,32,95,34,34,43,26,43,neutral,43,47,13,12,1,117,0.6652
49,40,male,192,79,5,3,5,6,4,3,5,7,3,8,36,34,56,46,57,56,41,34,1,75,0,1,0,0,1,4,0,0,0,0,72,65,24,40,38,74,43,resource_rich,34,53,0,12,0,1,0.0466
50,15,female,161,72,6,6,6,6,2,5,5,5,3,5,44,44,44,37,35,32,25,24,0,0,0,0,0,0,1,7,1,7,1,1,36,24,34,39,55,47,54,neutral,44,38,24,14,1,162,0.6759
51,28,male,170,81,4,5,6,3,6,6,7,7,6,8,52,31,40,40,39,63,51,46,1,83,1,1,0,0,1,5,1,5,1,5,65,62,53,56,39,50,44,haunted_hotel,61,33,16,9,1,129,0.743
52,59,male,188,82,7,6,4,5,3,4,6,2,6,5,56,56,46,41,43,46,59,46,0,0,0,1,1,2,0,0,1,6,0,5,71,53,56,48,52,61,39,trap_exit,59,28,22,9,0,4,0.0314
53,12,male,183,97,5,5,7,5,6,1,5,6,4,6,34,41,41,36,49,55,31,52,0,0,0,0,1,5,1,4,0,0,0,0,69,48,27,49,23,71,22,flooding,34,72,9,15,0,5,0.1165
54,22,male,172,90,5,5,7,6,1,6,7,4,7,4,51,56,58,59,57,34,19,64,0,0,1,0,0,0,1,7,0,0,0,7,48,39,70,70,45,52,53,flooding,64,38,22,10,0,6,0.1396
55,17,female,157,63,3,6,2,3,7,3,6,4,4,3,57,62,61,59,51,43,40,39,0,0,0,1,0,0,0,0,1,6,0,end,46,48,58,78,36,69,14,trap_exit,84,15,19,9,0,3,0.0448
56,71,female,181,85,6,5,3,6,4,5,5,4,4,5,51,54,56,68,35,55,28,50,0,0,1,1,0,0,1,4,0,0,0,7,34,36,66,55,29,63,35,mechanical_noise,53,34,25,12,0,3,0.0369
57,27,female,156,82,6,4,4,5,4,5,4,2,3,5,44,43,63,60,47,46,48,63,0,0,0,1,0,0,1,4,1,4,0,3,48,23,50,52,34,51,44,mechanical_noise,28,43,36,9,1,80,0.4943
58,46,male,179,77,7,8,5,6,6,6,6,7,8,6,41,52,58,74,67,54,61,45,0,0,1,1,0,0,1,4,1,2,1,7,74,37,70,74,27,51,46,flooding,66,22,35,8,0,3,0.0558
59,46,female,156,64,3,6,7,6,6,5,6,4,1,5,43,28,28,18,50,58,46,80,1,10,0,1,0,0,1,4,1,10,1,1,0,49,35,29,53,20,54,neutral,20,59,19,17,1,78,0.8353
60,28,female,172,66,6,5,3,8,6,3,6,6,4,6,60,53,71,51,49,45,31,53,0,0,1,1,1,5,0,0,1,4,0,6,57,31,58,50,22,83,29,darkness,34,34,41,9,1,113,0.551
61,37,female,161,83,4,5,4,7,2,3,5,3,4,7,45,43,30,45,42,32,23,34,0,0,0,0,1,1,0,0,0,0,0,2,42,24,55,55,26,40,40,darkness,59,54,22,8,0,11,0.1446
62,26,female,154,42,2,6,7,8,2,6,6,4,7,4,23,39,35,38,70,50,39,76,0,0,1,1,1,1,1,8,1,9,0,1,25,75,17,19,53,47,70,neutral,15,78,15,15,1,117,0.753
63,31,male,176,81,4,7,5,5,7,7,5,7,7,7,31,34,63,47,70,64,56,45,1,67,1,1,0,0,0,0,1,6,1,7,55,56,37,52,30,78,40,darkness,40,44,16,11,1,108,0.6543
64,20,female,155,76,8,4,6,5,6,3,5,5,3,7,48,37,47,43,35,48,25,44,1,49,1,0,1,4,1,6,0,0,0,6,66,37,31,25,44,49,39,darkness,33,50,24,13,1,63,0.5068
65,13,female,156,77,5,8,7,7,6,5,6,5,7,2,43,56,67,56,65,58,53,83,1,45,1,0,0,0,1,7,1,1,1,2,85,39,51,67,36,85,46,cave_isolation,56,33,25,10,1,49,0.7039
66,18,female,155,48,3,5,6,3,2,4,5,7,7,6,52,57,71,71,53,47,52,60,1,25,1,1,0,0,1,7,1,3,0,2,94,48,35,40,30,76,25,darkness,56,28,19,11,0,2,0.0404
67,30,female,165,55,3,5,7,5,5,4,3,6,3,4,44,41,47,47,41,46,40,68,1,30,0,1,0,0,1,10,0,0,0,2,84,55,45,65,44,75,20,darkness,51,38,38,12,1,84,0.4981
68,12,female,181,95,6,6,8,5,4,6,6,8,4,0,43,44,43,43,62,46,43,43,1,65,0,1,1,2,0,0,1,10,0,3,68,44,51,52,60,75,55,trap_exit,60,45,42,8,0,2,0.0478
69,19,female,157,61,4,4,3,3,5,6,3,3,5,2,45,56,38,58,54,43,39,32,0,0,1,0,1,1,1,9,1,4,0,8,38,44,60,42,37,82,41,cave_isolation,50,37,23,8,0,23,0.1944
70,39,female,165,69,7,5,5,5,7,7,7,6,3,4,31,41,43,49,53,56,43,20,1,25,0,1,0,0,0,0,0,0,1,0,29,59,29,35,24,53,59,flooding,23,65,9,13,0,3,0.0491
71,35,male,186,93,4,8,5,7,3,4,4,5,4,5,61,48,47,58,36,52,51,56,0,0,1,1,1,1,0,0,0,0,0,end,80,47,59,51,40,87,12,trap_exit,79,49,20,11,0,2,0.0458
72,29,male,181,66,7,5,7,4,7,6,4,6,5,9,31,47,58,58,70,65,33,49,0,0,0,1,0,0,1,7,0,0,1,7,75,63,35,55,30,61,69,flooding,20,62,30,12,0,3,0.0579
73,22,male,181,70,4,2,4,3,8,6,3,3,3,3,32,48,49,49,58,68,65,28,0,0,0,1,1,5,1,7,1,7,1,0,33,60,26,35,41,52,40,liminal_office,46,58,27,17,1,81,0.7881
74,15,female,164,65,1,6,5,7,1,7,7,4,5,5,25,42,38,27,68,48,45,55,0,0,0,0,0,0,0,0,1,6,1,0,21,44,16,26,42,46,43,haunted_hotel,11,77,17,18,1,74,0.6075
75,17,female,165,56,4,6,6,7,4,6,6,6,2,8,50,51,66,75,42,38,35,20,0,0,1,1,1,1,0,0,1,7,0,7,71,37,50,53,13,58,34,flooding,59,22,30,9,0,3,0.0583
76,30,male,178,83,4,6,4,5,4,4,5,2,4,6,56,67,74,62,40,44,44,79,0,0,1,0,0,0,0,0,0,0,0,8,65,46,54,50,29,94,22,darkness,58,35,17,6,0,2,0.0341
77,51,female,168,76,5,3,6,6,7,8,7,4,2,5,45,60,67,64,48,64,26,66,0,0,0,1,0,0,0,0,1,2,0,7,63,25,67,73,17,82,59,flooding,59,40,29,9,1,119,0.789
78,32,female,166,60,4,5,5,5,7,6,4,6,6,5,49,51,50,47,60,57,29,43,0,0,1,1,1,1,0,0,0,0,1,3,74,37,60,70,30,60,51,neutral,49,28,36,13,0,2,0.0561
79,12,female,166,60,3,4,5,4,4,6,4,6,4,8,48,38,74,61,55,60,37,39,1,17,1,1,1,2,1,3,0,0,1,7,62,46,58,58,11,59,44,flooding,52,37,30,10,1,146,0.6843
80,35,male,166,72,2,4,6,5,1,5,6,7,3,3,41,27,44,45,45,43,48,34,0,0,1,1,0,0,0,0,1,7,1,7,50,43,50,42,43,47,47,flooding,38,51,16,11,0,3,0.0391
81,46,male,181,46,4,5,5,5,7,7,4,5,4,4,32,36,48,38,49,57,36,39,0,0,1,0,0,0,1,5,1,4,0,3,20,47,15,18,44,49,53,mechanical_noise,23,66,29,16,0,3,0.059
82,49,female,169,56,7,5,8,4,5,5,5,6,8,7,15,34,36,35,66,62,54,59,0,0,1,1,0,0,0,0,1,8,0,1,51,71,43,31,72,40,60,neutral,40,47,7,11,0,23,0.1877
83,54,female,154,74,6,7,3,8,3,6,7,3,5,6,54,51,61,46,29,45,61,21,0,0,1,1,1,2,1,10,1,5,0,end,58,58,43,47,45,57,16,trap_exit,76,32,43,14,0,7,0.1564
84,36,male,170,81,5,5,7,5,8,6,6,6,4,6,67,42,54,59,32,69,57,48,0,0,0,1,1,4,1,6,0,0,0,5,68,53,41,46,44,65,23,haunted_hotel,60,55,27,12,0,1,0.0705
85,38,female,173,75,4,6,5,5,5,7,5,4,5,5,57,52,50,70,54,51,40,36,1,44,1,1,1,3,1,7,1,7,0,end,66,64,56,68,33,53,26,darkness,79,42,31,7,1,79,0.511
86,35,female,157,93,4,4,4,4,5,7,5,5,3,9,30,33,37,33,58,64,40,67,0,0,0,1,1,2,0,0,1,8,0,4,4,78,21,24,67,26,64,resource_rich,11,78,4,19,1,82,0.742
87,53,female,162,94,5,6,6,5,5,2,4,6,3,3,62,42,56,57,39,39,48,41,1,71,0,0,1,2,1,5,0,0,0,8,62,55,32,69,16,64,3,neutral,50,30,29,5,0,4,0.0429
88,33,female,154,62,5,3,8,4,3,3,4,7,4,9,43,43,66,43,45,39,29,40,1,49,0,0,1,3,1,7,1,3,0,3,52,51,52,78,41,80,37,neutral,60,34,46,8,1,70,0.5318
89,18,male,178,65,1,3,6,7,5,2,3,6,4,7,63,39,57,35,47,55,52,60,0,0,1,1,1,3,1,4,1,7,0,8,69,48,57,47,23,79,6,neutral,69,24,23,3,1,53,0.4975
90,12,male,180,80,2,5,4,6,7,4,3,6,2,7,9,41,39,35,64,70,50,52,0,0,0,1,1,2,1,7,1,6,1,4,15,42,0,2,70,13,77,neutral,23,76,24,17,1,165,0.9541
91,31,male,174,100,6,3,4,4,4,1,5,3,6,2,52,50,59,56,56,55,39,53,0,0,1,0,0,0,1,5,0,0,0,8,75,34,66,72,29,79,18,neutral,48,33,32,6,1,49,0.287
92,39,male,181,76,4,7,5,5,8,8,5,6,6,10,65,66,54,56,35,56,42,42,1,66,0,1,0,0,1,7,1,5,1,5,49,54,46,56,27,50,30,trap_exit,63,35,53,9,0,16,0.1712
93,62,male,171,81,7,5,5,6,3,5,4,3,6,7,13,43,40,39,69,54,41,47,1,51,1,0,0,0,1,4,0,0,0,1,38,83,23,37,51,43,58,resource_rich,14,59,16,13,1,153,0.6883
94,27,male,167,75,6,3,5,3,5,8,4,5,6,4,34,44,56,53,74,54,52,44,0,0,0,0,1,3,0,0,0,0,0,7,51,50,47,41,33,72,49,flooding,43,69,25,13,1,168,0.739
95,44,male,159,82,6,7,4,5,4,7,5,6,7,4,54,47,45,41,51,45,46,62,0,0,0,1,1,5,1,6,0,0,0,end,73,64,65,62,46,73,12,trap_exit,72,25,51,8,0,4,0.041
96,24,female,165,65,3,8,3,8,3,7,8,5,3,4,46,44,51,30,49,43,45,48,0,0,1,0,0,0,0,0,1,4,0,0,63,37,40,33,56,82,44,liminal_office,42,51,20,12,1,102,0.4561
97,12,male,167,77,4,4,6,6,8,4,6,6,7,2,53,42,41,56,50,67,44,63,1,42,1,1,1,3,1,6,1,4,1,2,77,39,71,70,43,47,38,darkness,71,10,20,6,1,88,0.7227
98,50,male,178,89,3,8,6,8,5,4,5,7,3,7,56,43,48,50,33,41,4,21,1,28,1,1,0,0,1,5,0,0,0,5,59,64,56,42,50,47,53,haunted_hotel,58,33,30,11,0,2,0.0553
99,50,female,152,61,5,3,6,5,4,7,5,7,3,4,29,30,42,38,57,55,22,43,1,32,1,0,0,0,1,4,0,0,0,4,23,81,25,33,58,18,87,resource_rich,12,52,15,16,1,80,0.6567
100,51,female,164,66,4,8,6,6,4,6,9,6,4,6,27,36,32,35,66,53,45,60,1,54,1,0,0,0,0,0,0,0,0,4,30,64,16,26,75,18,84,resource_rich,13,56,18,17,1,76,0.6124
101,16,female,175,64,4,4,5,5,5,8,4,7,5,4,15,41,39,29,72,72,55,65,0,0,0,0,0,0,1,9,0,0,0,4,44,68,30,24,70,29,58,resource_rich,13,54,20,15,1,100,0.9552
102,25,female,168,68,6,4,2,4,4,6,5,5,3,6,45,57,75,57,50,43,34,76,1,61,0,1,0,0,0,0,0,0,0,3,61,27,61,59,16,64,45,mechanical_noise,53,44,45,11,0,2,0.0465
103,12,male,180,92,5,7,3,4,7,6,4,4,7,4,58,51,52,53,45,58,61,38,1,35,1,1,0,0,1,7,0,0,1,end,69,62,61,66,49,47,23,trap_exit,84,39,37,8,0,14,0.1291
104,31,male,168,87,1,6,8,3,3,5,2,5,4,5,59,50,47,53,43,38,32,5,1,5,0,0,1,3,1,4,0,0,0,3,80,25,65,66,40,86,38,mechanical_noise,63,35,52,6,0,2,0.039
105,50,male,171,85,3,4,6,3,2,5,2,5,6,4,42,37,39,57,55,41,55,71,1,65,0,1,0,0,0,0,0,0,1,5,58,54,39,59,39,52,29,trap_exit,57,45,14,10,0,1,0.0457
106,20,male,161,93,6,7,3,7,6,3,6,5,4,6,44,47,49,56,58,43,39,55,1,25,0,1,1,4,0,0,1,3,0,0,63,56,49,50,34,77,38,darkness,53,40,28,13,0,3,0.0543
107,43,male,171,82,4,6,6,6,5,8,6,1,4,1,34,40,23,32,52,57,43,73,0,0,0,1,0,0,1,4,0,0,0,4,22,72,34,35,66,26,61,neutral,40,54,18,16,0,11,0.1983
108,49,male,174,82,6,5,7,5,7,6,3,5,7,3,51,40,41,43,56,60,66,40,1,62,0,0,0,0,0,0,1,5,0,6,56,32,45,58,39,47,38,darkness,49,40,30,12,1,134,0.7495
109,32,female,154,64,5,6,4,6,1,4,7,5,1,6,65,49,35,48,39,41,36,37,0,0,0,1,1,5,1,9,1,9,1,5,55,63,53,51,51,34,59,haunted_hotel,63,23,29,11,0,10,0.1243
110,31,male,184,81,3,7,4,5,6,7,7,5,6,5,54,46,49,46,40,60,54,45,0,0,1,1,0,0,0,0,1,3,0,5,49,56,36,41,63,32,32,haunted_hotel,46,64,33,13,0,4,0.0403
111,12,female,169,79,5,6,5,8,4,4,7,4,6,2,44,51,68,43,54,50,37,56,0,0,1,0,1,2,0,0,1,3,0,8,64,14,35,29,37,66,35,cave_isolation,39,36,26,14,0,1,0.0412
112,35,female,167,68,6,6,7,3,4,4,5,5,5,7,44,48,44,58,45,56,32,40,0,0,1,1,1,1,1,1,1,5,0,7,73,34,62,68,44,63,16,flooding,73,24,28,8,1,63,0.493
113,19,male,168,69,3,7,6,5,8,8,7,4,7,2,23,34,20,33,61,74,51,59,0,0,0,1,0,0,0,0,0,0,0,1,28,43,16,31,34,39,47,resource_rich,28,62,13,17,0,12,0.1348
114,33,male,182,85,8,6,5,9,6,6,6,6,4,6,56,44,46,58,50,57,39,64,1,40,1,1,0,0,0,0,1,9,1,8,82,53,45,55,16,87,33,flooding,53,42,29,14,1,55,0.6399
115,15,female,149,47,4,8,8,8,6,5,7,6,3,7,31,39,50,52,57,59,45,48,0,0,0,1,1,2,1,4,0,0,0,4,35,64,19,28,29,40,54,liminal_office,31,55,14,15,1,63,0.7104
116,31,male,181,86,2,5,5,5,3,5,6,2,1,3,49,48,35,44,42,44,39,56,1,20,0,1,1,2,1,3,1,2,0,8,37,47,36,59,51,71,27,cave_isolation,67,9,27,4,0,9,0.113
117,30,female,162,49,4,2,5,5,6,5,4,7,4,9,69,33,59,54,26,56,47,42,0,0,0,1,1,5,1,2,0,0,0,6,29,4,51,44,16,55,39,trap_exit,64,47,36,8,0,3,0.052
118,28,female,166,75,5,3,2,2,7,7,2,3,5,2,33,63,55,61,65,58,33,70,0,0,1,1,1,1,0,0,1,7,0,7,47,25,50,40,60,37,27,neutral,46,64,22,11,0,4,0.0581
119,18,female,159,51,5,3,8,3,4,3,4,8,6,1,57,37,58,49,40,56,47,63,1,52,1,1,0,0,0,0,1,6,0,8,49,52,63,62,33,85,18,haunted_hotel,71,28,16,10,0,6,0.1095
120,50,female,163,54,5,4,4,5,7,5,3,4,6,8,60,41,45,53,37,57,28,66,0,0,1,0,1,2,0,0,0,0,0,2,59,33,53,51,45,75,26,cave_isolation,69,42,23,8,0,2,0.0545
121,40,male,171,74,4,8,5,8,6,5,7,5,7,2,37,45,35,49,74,63,42,72,0,0,0,1,0,0,0,0,0,0,0,0,61,41,23,39,41,81,53,liminal_office,21,44,32,13,1,106,0.4844
122,12,male,164,86,8,9,5,5,4,6,5,4,6,3,63,58,61,55,50,48,36,47,0,0,0,1,1,4,0,0,1,9,0,end,73,41,70,69,43,50,53,trap_exit,53,39,37,4,1,90,0.4539
123,29,male,178,91,2,5,7,5,4,4,6,5,3,6,58,60,77,71,40,32,49,39,0,1,0,0,0,0,1,6,1,1,0,8,94,52,49,56,16,71,39,cave_isolation,63,36,36,7,0,1,0.0471
124,15,male,160,79,6,8,4,4,6,8,4,2,2,5,44,67,47,54,42,43,49,49,0,0,0,1,0,0,1,3,0,0,0,0,55,50,35,52,35,72,54,darkness,40,47,19,14,1,168,0.7381
125,20,male,188,79,3,6,3,5,5,9,4,2,1,5,51,50,52,51,36,56,38,44,0,0,0,0,1,4,0,0,0,0,0,0,44,59,44,57,23,63,54,darkness,49,44,23,13,1,68,0.6249
126,37,male,177,77,5,6,4,6,3,6,3,4,8,7,57,65,46,51,53,33,34,45,1,33,1,0,1,2,0,0,1,6,1,end,85,46,66,73,61,62,58,resource_rich,81,32,40,8,1,48,0.4767
