character_id,age,sex,height_cm,weight_kg,strength,reaction,stamina,speed,intelligence,perception,agility,endurance,stress_resistance,luck,panic,fatigue,hunger,thirst,mental_stability,focus,confidence,pain_tolerance,has_flashlight,flashlight_battery,has_knife,has_backpack,has_first_aid_kit,medkit_count,has_water,water_amount,has_food,food_amount,has_radio,level_id,visibility,entity_density,entity_aggression,level_difficulty,resource_density,maze_complexity,geometry_stability,special_rule,spawn_area_danger,distance_to_nearest_entity,noise_generated,time_since_last_encounter,survived_24h,survival_time_hours,escape_probability
48,47,female,182,132,6,6,7,0,8,3,7,0,10,0,33,54,63,64,66,74,57,39,1,31,0,0,1,5,0,0,1,9,1,8,51,75,67,86,64,85,38,cave_isolation,67,64,20,1,1,11,0.526
49,61,male,142,121,6,3,4,5,3,0,9,0,8,1,44,52,46,53,69,79,61,67,1,38,1,1,0,0,1,9,1,3,1,6,11,61,53,43,74,71,49,trap_exit,40,89,74,9,0,0,0.24
50,15,female,151,42,10,2,2,5,8,7,2,8,5,0,70,33,58,9,45,42,81,22,1,90,0,0,1,5,0,0,1,9,0,5,68,47,62,73,42,67,21,mechanical_noise,41,65,70,21,1,98,0.69
51,13,female,150,122,6,1,4,4,0,6,4,2,10,4,32,84,71,67,67,70,68,88,0,0,0,0,1,5,0,0,1,8,0,5,32,72,59,56,24,67,41,trap_exit,63,86,58,0,0,0,0.174
52,17,female,155,62,5,10,0,0,8,4,0,2,9,7,25,88,79,77,46,79,44,69,1,95,1,1,0,0,0,0,0,0,1,6,15,61,49,82,85,83,51,neutral,41,25,25,10,1,70,0.305
53,65,female,168,89,10,0,10,9,5,4,5,2,6,9,66,48,10,25,54,63,74,79,1,51,0,0,1,0,1,7,1,10,0,5,65,42,54,76,79,31,78,mechanical_noise,29,70,78,17,0,0,0.317
54,15,male,160,101,1,3,4,1,6,4,8,5,7,7,57,20,35,27,69,37,76,85,0,0,1,0,0,0,0,0,1,1,1,1,43,73,35,66,26,71,83,flooding,72,78,17,11,0,0,0.255
55,65,male,197,111,1,5,6,8,7,1,10,4,10,8,41,37,8,34,40,58,78,20,1,33,1,1,1,2,1,2,0,0,1,3,61,79,50,52,34,48,50,mechanical_noise,40,23,28,10,1,23,0.4
56,74,female,182,73,9,2,10,6,1,6,9,3,3,7,37,70,14,41,63,48,36,30,0,0,0,1,0,0,1,1,0,0,1,6,8,66,70,83,56,68,44,mechanical_noise,66,15,21,12,0,0,0.138
57,29,male,144,67,5,2,0,10,6,8,6,8,10,10,52,57,83,56,31,70,47,32,1,66,0,1,0,0,1,7,0,0,0,2,59,20,69,79,27,86,21,trap_exit,39,39,17,11,0,0,0.273
58,55,female,191,114,10,9,7,7,2,0,2,9,6,1,27,42,49,33,57,71,28,58,1,51,0,0,1,5,1,10,1,2,0,2,32,26,68,60,22,59,82,neutral,23,73,70,21,1,108,0.488
59,45,female,152,109,0,7,10,7,5,2,7,2,1,4,14,89,31,8,86,79,30,49,1,37,1,1,1,2,0,0,1,8,0,3,40,21,55,46,65,44,37,trap_exit,74,38,70,21,1,104,0.782
60,73,female,151,63,5,4,6,0,6,10,9,7,7,6,80,23,38,35,61,52,38,26,1,96,0,1,1,2,1,2,1,9,0,3,79,75,63,56,60,25,46,liminal_office,48,24,68,4,0,0,0.19
61,25,male,140,123,4,1,4,3,4,4,8,5,9,4,52,63,33,35,57,58,85,38,1,67,1,1,0,0,1,5,0,0,1,3,31,53,36,76,66,77,32,cave_isolation,70,40,52,19,0,0,0.274
62,59,female,147,51,0,9,10,2,2,0,0,9,7,1,20,63,56,49,32,63,80,41,0,0,0,0,1,2,0,0,0,0,1,4,78,10,49,71,29,67,67,cave_isolation,22,65,18,4,1,123,0.522
63,26,male,155,71,4,8,0,6,3,2,5,6,0,5,23,86,46,14,69,56,40,87,1,22,1,1,0,0,0,0,0,0,0,1,44,59,72,83,40,56,47,flooding,79,26,30,4,0,0,0.294
64,73,male,154,40,3,0,8,2,7,6,7,1,5,1,90,50,39,57,58,49,66,63,1,65,0,1,1,4,0,0,1,7,1,7,47,55,40,65,35,39,73,mechanical_noise,52,81,52,11,0,0,0.279
65,51,male,158,80,8,5,7,7,9,2,1,2,6,7,42,73,33,24,45,32,86,59,1,62,0,1,1,1,1,1,0,0,0,2,63,30,70,65,78,41,44,darkness,69,43,63,22,1,79,0.656
66,64,male,164,48,10,4,4,5,10,8,3,10,10,3,21,36,55,68,50,71,29,58,0,0,0,0,0,0,0,0,1,2,1,5,81,32,62,89,79,33,53,darkness,58,66,23,23,0,0,0.287
67,35,male,170,117,0,2,9,2,6,1,1,2,10,9,89,52,10,21,40,61,78,43,1,21,1,1,1,3,1,6,1,1,0,8,39,66,65,66,62,50,86,neutral,83,83,31,15,1,57,0.636
68,37,male,141,71,9,0,8,0,10,10,6,8,4,1,80,21,44,47,49,44,87,30,0,0,0,0,1,1,1,9,0,0,1,1,30,55,46,68,57,67,35,neutral,22,42,47,9,0,0,0.225
69,71,female,198,110,2,0,2,7,7,9,10,8,1,8,21,10,39,33,46,23,21,26,1,32,1,0,1,1,0,0,1,7,0,2,75,77,41,80,31,37,71,cave_isolation,81,77,58,23,0,0,0.236
70,52,male,170,117,1,4,5,7,4,8,1,3,4,10,86,82,74,8,63,71,67,71,1,92,0,0,1,0,0,0,0,0,1,2,39,78,48,53,33,62,87,mechanical_noise,40,59,17,23,0,0,0.184
71,40,female,207,119,10,6,5,8,6,1,8,0,9,8,19,72,12,23,57,29,20,26,1,64,0,1,1,2,0,0,1,4,1,1,31,23,65,30,80,71,62,trap_exit,76,54,85,23,1,82,0.798
72,26,male,207,63,0,7,9,6,6,9,2,4,10,0,54,88,59,31,82,34,29,87,0,0,1,1,0,0,1,10,0,0,0,0,46,44,30,38,82,89,50,resource_rich,21,43,40,11,1,21,0.479
73,56,male,151,126,1,2,8,7,7,9,7,7,5,7,45,11,77,56,38,66,37,44,1,37,1,1,0,0,0,0,0,0,1,1,62,67,57,54,30,25,47,resource_rich,39,64,30,3,0,0,0.282
74,76,female,156,115,10,6,10,0,1,10,1,1,4,0,73,38,67,25,32,58,86,33,1,89,1,1,0,0,0,0,1,7,1,6,22,81,47,63,31,83,29,cave_isolation,38,86,16,4,1,104,0.493
75,20,female,168,83,6,7,7,0,1,7,6,4,2,7,16,41,19,39,77,36,50,73,1,95,0,1,1,0,0,0,1,6,1,6,27,77,57,81,77,35,24,trap_exit,59,87,36,1,0,0,0.187
76,12,male,175,36,4,2,4,6,5,5,1,9,4,5,57,70,37,33,32,69,31,88,1,72,0,0,0,0,1,3,0,0,0,0,34,55,61,76,73,85,50,trap_exit,52,12,55,5,0,0,0.292
77,19,male,202,104,1,9,7,6,1,8,2,5,5,9,71,68,50,33,85,62,44,31,1,100,1,0,0,0,1,5,0,0,1,end,60,69,57,64,75,58,20,trap_exit,75,27,69,14,0,0,0.098
78,74,male,154,123,3,7,2,2,1,0,7,10,5,1,49,42,28,45,83,65,58,72,1,81,1,0,1,1,1,4,0,0,1,1,34,62,72,76,77,67,33,cave_isolation,50,75,27,1,0,0,0.256
79,22,male,169,117,10,4,7,5,9,2,8,9,0,10,65,47,77,84,24,82,70,57,1,51,0,1,1,5,0,0,1,2,0,2,78,48,53,38,62,61,67,resource_rich,63,84,44,13,1,102,0.629
80,19,female,190,104,5,4,9,5,1,6,7,5,1,6,25,41,73,85,36,27,31,47,1,30,0,0,0,0,1,5,1,6,0,8,43,64,71,52,29,54,25,darkness,68,30,64,11,1,12,0.438
81,46,female,150,99,7,7,2,5,1,6,10,5,5,10,64,82,30,34,64,42,48,57,0,0,0,1,0,0,0,0,0,0,1,3,77,76,45,81,80,62,41,liminal_office,69,31,51,15,0,0,0.126
82,46,male,196,80,5,5,6,3,8,5,0,9,4,6,44,49,20,16,20,90,65,66,1,23,1,1,0,0,1,7,1,9,0,7,39,62,54,46,53,63,25,mechanical_noise,66,77,50,19,0,0,0.211
83,44,female,152,97,5,5,2,8,3,7,10,3,6,4,41,36,47,34,36,55,85,65,1,33,0,0,1,0,0,0,0,0,1,5,34,74,74,32,67,47,27,flooding,62,23,49,10,0,0,0.266
84,16,male,194,132,5,5,6,3,3,8,1,7,6,9,58,89,63,62,24,30,47,82,0,0,0,0,0,0,1,5,1,9,0,5,37,68,33,68,28,38,80,neutral,41,51,24,22,0,0,0.139
85,52,female,202,119,4,9,0,3,7,6,9,7,10,5,76,10,14,43,40,49,48,33,1,91,0,1,0,0,0,0,0,0,1,end,68,41,51,59,69,52,66,resource_rich,61,69,64,3,0,0,0.201
86,39,female,141,55,4,0,10,10,3,3,3,9,4,6,51,29,25,34,65,52,24,24,0,0,0,1,0,0,1,2,1,3,0,4,61,23,52,49,47,58,88,liminal_office,43,58,20,8,1,38,0.534
87,18,other,195,61,5,0,8,9,7,8,1,10,10,9,75,15,75,50,86,62,78,46,1,50,0,1,0,0,0,0,0,0,1,4,93,32,28,83,62,31,40,resource_rich,33,90,67,18,1,117,0.824
88,23,female,146,97,5,2,2,4,1,1,2,1,6,3,48,53,63,65,27,85,26,90,1,61,0,0,0,0,0,0,1,10,1,6,10,80,49,63,29,31,51,mechanical_noise,30,16,67,23,0,0,0.158
89,45,female,182,57,0,1,10,1,5,3,6,1,4,9,69,73,6,56,55,27,83,81,1,60,0,0,1,1,1,10,1,7,1,8,66,59,72,45,55,41,38,haunted_hotel,72,95,36,2,1,27,0.599
90,44,male,170,134,6,8,0,5,4,2,9,8,10,7,47,65,75,61,45,54,32,34,1,24,0,0,1,4,0,0,0,0,0,7,39,61,43,52,33,88,87,trap_exit,59,88,67,20,0,0,0.286
91,59,female,200,134,5,1,8,6,7,4,3,2,9,7,42,68,63,83,39,23,61,74,1,54,1,1,0,0,1,4,1,7,1,8,69,36,46,44,40,50,29,mechanical_noise,31,26,60,22,0,0,0.291
92,34,male,161,130,5,3,8,2,10,10,5,4,9,9,18,12,30,45,64,82,67,82,0,0,1,1,0,0,1,9,1,9,0,1,32,24,36,44,25,81,22,mechanical_noise,20,48,72,2,0,0,0.354
93,73,male,201,73,0,10,9,3,9,8,2,5,5,7,84,21,66,25,79,25,44,56,1,74,1,0,0,0,0,0,1,9,0,4,78,18,54,72,77,62,26,neutral,20,63,42,23,0,0,0.364
94,48,female,167,92,6,6,6,4,3,3,10,8,7,5,72,30,57,65,87,31,52,29,1,34,0,0,0,0,0,0,1,5,0,8,49,58,32,37,82,62,57,resource_rich,47,64,51,24,0,0,0.261
95,55,male,164,79,5,9,5,0,3,6,1,9,6,1,82,40,66,81,64,39,29,21,1,69,1,1,0,0,1,8,0,0,0,2,50,31,68,64,56,71,28,neutral,59,50,15,4,0,0,0.252
96,46,female,204,115,9,6,1,7,4,1,5,6,6,3,68,78,20,67,86,24,20,87,1,61,0,1,1,3,1,9,0,0,1,4,69,36,32,45,64,51,47,flooding,37,38,61,8,1,79,0.631
97,76,female,171,48,1,10,6,3,6,5,4,8,3,3,27,71,55,45,60,79,24,34,0,0,1,1,0,0,1,4,1,1,0,1,65,77,32,89,38,70,88,liminal_office,70,83,32,17,1,115,0.563
98,58,female,187,56,10,5,4,9,5,5,9,8,7,8,12,85,49,6,30,74,51,40,1,47,0,1,1,5,1,1,0,0,1,end,78,65,33,86,62,52,42,trap_exit,33,68,65,7,1,84,0.465
99,14,female,163,51,7,4,6,4,2,9,6,9,8,10,54,51,5,60,87,83,33,44,1,27,0,1,1,3,0,0,1,8,1,8,45,35,56,86,71,84,56,trap_exit,22,94,56,19,0,0,0.254
100,12,male,181,63,7,5,5,3,0,4,4,10,8,2,13,40,68,70,54,28,46,65,0,0,0,1,0,0,1,4,0,0,0,6,24,72,53,69,22,70,53,flooding,74,51,31,24,1,49,0.583
101,16,other,209,72,6,2,6,1,10,5,7,9,10,1,85,61,76,17,21,43,68,42,0,0,0,0,1,2,0,0,1,8,0,1,46,34,29,46,60,46,71,haunted_hotel,23,50,32,13,0,0,0.213
102,25,male,175,124,6,6,9,8,7,5,10,8,8,10,38,63,51,6,45,66,42,66,1,75,1,1,0,0,1,3,0,0,1,8,44,50,36,52,61,40,64,resource_rich,79,5,73,3,1,32,0.376
103,38,female,170,65,10,5,6,0,5,3,1,10,4,8,65,34,60,61,28,41,41,42,1,39,0,0,1,0,1,10,1,6,1,0,52,75,42,41,56,40,47,darkness,45,33,44,10,1,32,0.589
104,20,female,166,132,6,3,3,0,6,0,9,2,5,9,65,77,28,51,84,74,33,68,1,38,0,1,1,4,1,2,0,0,1,8,57,23,57,48,63,49,59,resource_rich,57,41,56,15,0,0,0.218
105,26,female,205,92,3,1,7,7,2,1,0,10,9,5,14,40,56,51,45,80,85,72,1,71,0,1,1,2,1,2,0,0,0,4,75,39,57,61,39,67,62,neutral,78,8,37,17,0,0,0.302
106,53,female,184,125,0,0,0,0,1,5,0,2,5,8,85,53,50,60,62,65,83,45,1,24,0,1,1,3,1,1,0,0,1,1,37,65,45,32,76,79,69,flooding,81,50,16,24,0,0,0.129
107,62,female,183,51,8,8,0,10,10,6,6,9,2,8,49,48,74,14,89,69,21,33,1,97,0,0,1,1,0,0,1,3,0,7,25,80,49,38,84,50,39,trap_exit,20,7,47,22,1,62,0.483
108,74,male,196,57,0,7,1,5,0,9,3,5,3,7,61,16,20,27,48,72,49,69,1,59,0,0,1,2,1,4,0,0,0,7,20,71,31,53,45,71,41,haunted_hotel,80,20,69,13,0,0,0.118
109,63,male,160,132,4,3,7,2,7,3,6,2,4,4,57,35,27,69,38,38,20,69,1,63,0,0,0,0,0,0,0,0,1,2,67,66,40,80,33,77,72,cave_isolation,22,17,74,19,0,0,0.209
110,15,male,194,116,9,9,7,5,5,7,9,2,0,5,55,34,12,82,53,32,37,24,1,57,0,1,0,0,1,1,1,6,1,end,41,49,44,59,30,60,78,liminal_office,27,45,71,24,0,0,0.119
111,34,female,154,119,8,10,6,10,3,4,9,8,5,8,23,36,20,75,51,89,71,22,1,30,0,0,0,0,0,0,0,0,0,end,49,61,40,32,41,82,61,haunted_hotel,34,30,83,20,0,0,0.181
112,26,female,173,54,1,0,3,7,0,8,8,4,3,2,71,26,17,81,63,65,80,21,1,67,0,1,1,0,0,0,1,6,0,5,64,39,62,65,53,69,61,cave_isolation,34,94,69,14,0,0,0.347
113,54,female,142,130,4,3,1,0,9,5,10,1,7,10,29,66,31,83,73,66,78,47,0,0,1,1,1,5,1,3,1,1,0,3,45,75,57,82,50,49,63,haunted_hotel,66,39,60,20,0,0,0.245
114,40,female,140,110,10,4,1,0,7,1,10,5,1,3,44,18,14,12,46,78,62,88,1,82,1,0,0,0,1,2,1,7,1,4,77,14,30,47,26,26,84,neutral,23,83,57,0,1,77,0.652
115,47,female,163,38,10,0,9,5,4,4,3,8,2,10,78,29,14,21,73,61,38,33,0,0,0,0,1,5,1,1,0,0,1,4,63,37,54,90,33,86,71,resource_rich,38,52,50,17,1,23,0.377
116,24,male,182,107,10,8,5,7,6,10,9,2,5,3,63,30,67,45,34,47,30,66,1,25,0,0,0,0,1,7,1,2,0,8,57,23,48,89,54,82,46,liminal_office,60,44,36,20,1,104,0.579
117,43,male,166,109,0,6,8,3,6,4,6,6,6,3,29,50,77,41,25,44,51,67,0,0,1,1,1,4,0,0,1,4,1,3,43,64,33,77,27,55,24,haunted_hotel,46,75,17,3,0,0,0.222
118,70,male,148,83,1,6,4,7,1,4,3,9,4,8,64,70,15,52,81,87,65,51,1,94,0,1,0,0,1,1,1,5,0,5,50,40,61,81,43,41,79,flooding,47,73,78,4,1,55,0.513
119,39,female,156,128,0,0,6,2,1,7,6,10,1,4,74,49,53,53,89,66,44,47,1,83,0,0,1,1,0,0,1,7,0,5,55,77,61,76,46,26,40,cave_isolation,72,80,28,19,0,0,0.284
120,77,male,178,60,2,8,2,5,1,2,5,0,7,0,67,55,39,26,54,45,74,90,1,64,0,1,0,0,1,5,0,0,1,8,78,53,24,72,28,29,68,haunted_hotel,32,86,63,22,1,45,0.726
121,53,female,194,66,3,9,5,3,4,3,9,2,0,3,59,18,68,72,69,20,60,39,0,0,1,0,0,0,1,5,1,2,0,1,64,66,54,42,22,74,53,liminal_office,56,25,48,16,0,0,0.193
122,56,female,207,62,0,7,8,7,1,5,2,8,9,1,48,86,74,41,37,21,39,85,1,67,1,1,1,1,1,1,1,10,0,4,88,42,22,53,66,25,29,haunted_hotel,54,54,69,14,1,22,0.557
123,73,male,184,85,9,5,3,5,2,8,5,8,6,1,48,72,75,34,64,84,51,23,0,0,1,1,1,0,0,0,0,0,1,end,71,57,32,33,55,87,74,mechanical_noise,64,18,60,1,0,0,0.192
124,68,male,167,74,0,3,3,2,3,9,1,5,7,9,20,77,75,84,63,36,39,73,1,63,0,0,1,2,1,7,1,10,1,3,75,44,51,35,31,58,79,darkness,71,27,74,3,1,34,0.449
125,17,male,195,71,1,5,3,5,3,2,10,9,8,10,49,33,46,62,56,27,66,42,1,39,1,1,1,1,1,3,1,3,0,2,69,60,29,36,45,89,50,haunted_hotel,63,80,36,10,0,0,0.252
126,39,male,168,140,3,10,2,4,1,10,5,9,10,7,52,11,15,23,33,80,46,62,0,0,0,0,0,0,0,0,1,4,1,0,57,74,20,85,36,69,54,flooding,58,33,20,8,0,0,0.201
127,39,female,168,85,1,3,8,8,7,0,10,8,0,0,41,40,69,17,89,53,47,56,0,0,1,0,1,1,0,0,0,0,1,3,37,77,20,86,59,55,31,haunted_hotel,26,5,57,23,0,0,0.259
